item_id,subcategoryID,details,,
item_046,sub_005,5. Repeat this exercise for two to three sets of 10 reps each.,,
item_047,sub_005,Muscles Targeted :,,
item_048,sub_005,"1. Rectus Abdominis or Abdominal Muscles",,
item_049,sub_005,"2. Internal Obliques
",,
item_050,sub_006,1. Stand up straight and hold an EZ curl bar on the outside slanted grip so that palms are facing outward and upward.,,
item_051,sub_006,2. Keep your elbows close to your torso. This will be your starting position.,,
item_052,sub_006,"3. As you exhale Curl the weight up by keeping your upper arm stationary and curl the weights forward while contracting your biceps.",,
item_053,sub_006,4. Continue the curl until the dumbbells are at shoulder level and your biceps are fully contracted.Hold this position at the top for a second and squeeze your biceps.,,
item_054,sub_006,"5. While inhaling, slowly lower down the bar back to the starting position.",,
item_055,sub_006,6.  Repeat this movement for the desired amount of repetitions.,,
item_056,sub_006,Muscles Targeted :,,
item_057,sub_006,1. Biceps,,
item_058,sub_006,2. Shoulders,,
item_059,sub_006,"3. Forearms
",,
item_060,sub_007,1. Standup with your torso upright holding a dumbbell in your each hand held at arms length. The elbows should be close to the torso.,,
item_061,sub_007,2. Make sure the palms of your hands are facing each other. This will be your starting position.,,
item_062,sub_007,3. As you exhale Curl the weight up by keeping your upper arm stationary and curl the weights forward while contracting your biceps.,
item_063,sub_007,4. Continue the curl until the dumbbells are at shoulder level and your biceps are fully contracted.Hold this position at the top for a second and squeeze your biceps.,,
item_064,sub_007,"5. While inhaling, slowly lower down the bar back to the starting position.",,
item_065,sub_007,"6. Repeat this movement for the desired amount of repetitions.
",,
item_066,sub_007,Muscles Targeted :,,
item_067,sub_007,1. Biceps,,
item_068,sub_007,"2. Brachioradialis 
",,
item_069,sub_008,1. Lie down on a flat bench with your back and your feet on the floor. Using a medium width grip (grip that creates a 90-degrees angle between your upper arms and forearms) lift the bar from the rack with straight arms and hold it with your arms locked at the top. This will be your starting position.,,
item_070,sub_008,"2. As you breathe in lower down the bar slowly from the starting position until it touches your mid chest.",,
item_071,sub_008,3. After a pause of one count push the bar back up to the starting position as you breathe out until you've locked your elbows.,,
item_072,sub_008,4. Focus on pushing the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position at the top of the motion, hold this position for a second and then start lowering down slowly again.,
item_073,sub_008,5. Repeat this movement for desired amount of repetitions.,,
item_074,sub_008,"6. When you are done with the exercise, place the bar back in the rack.",,
item_075,sub_008,Muscles Targeted :,,
item_076,sub_008,1. Pectoralis ,,
item_077,sub_008,2. Deltoids,,
item_078,sub_008,"3. Triceps Brachii
",,
item_079,sub_009,"1. Get into a plank position. Place your hands firmly on the ground, directly under the shoulders. Place your toes onto the floor to stabilize your lower body.",,
item_080,sub_009,2. Brace your core (tighten your abs as if preparing yourself to take a punch), engage your glutes and flatten your back so that your entire body is neutral and straight.,
item_081,sub_009,"3. While inhaling Begin to lower down your body by keeping your back flat and eyes focused about 3-4 feet in front of you to keep your neck neutral until your chest touches the floor slightly",,
item_082,sub_009,4. Do not let your but dip or stick out at any point throughout the movement. Draw shoulder blades back and down, keeping elbows tucked close to your body.
item_083,sub_009,"5. Keeping your core engaged, push your body back to the starting position as you exhale.",,
item_084,sub_009,6. Repeat tis movement for the desired amount of repetitions.,,
item_085,sub_009,Tips :,,
item_086,sub_009,1. Keep your head straight and neck stable throughout the movement.,,
item_087,sub_009,2. Keep your shoulders back and stable.,,
item_088,sub_009,3. Keep your hips and torso in a straight line thorughout the movement.,,
item_089,sub_009,4. Do this exercise in a controlled tempo.,,
item_090,sub_009,Muscles Targeted :,,
item_091,sub_009,1. Pectoralis Major,,
item_092,sub_009,2. Deltoids,,
item_093,sub_009,3. Triceps Brachii,,
item_094,sub_009,"4. Abdominal Muscles
",,
item_095,sub_010,1. Attach a straight bar to a high pulley holding it with an overhand grip(palms facing down) standing at shoulder width.,,
item_096,sub_010,2. Standing upright with the torso straight and a very small forward inclination bring you upper arms closer to the body and perpendicular to the floor. The forearms should be pointing up towards the pulley as you hold the bar. This will be your starting position.,,
item_097,sub_010,"3. As you exhale use your triceps muscles and bring the bar down until it touches the front of your thighs and arms are fully extended perpendicular to the floor. Make sure to keep your upper arms stationary next to your torso and only the forearms should move throughout the movement.",,
item_098,sub_010,"4. Hold this contracted position for a second. As you breathe in, bring the bar slowly up back to the starting position.",,
item_099,sub_010,5. Repeat this movement for the desired amount of repetitions.,,
item_100,sub_010,Tips :,,
item_101,sub_010,1. Keep your back straight throughout the exercise.,,
item_102,sub_010,2. Push your shoulders back and brace the abdominals and back.,,
item_103,sub_010,Muscles Targeted :,,
item_104,sub_010,"1. Triceps Brachii
",,
item_105,sub_011,1. Lie on the floor with your face down and place your hand closer than the shoulder width so that your index fingers and thumbs make a triangle. Make sure you are holding your torso up at your arm's length.,,
item_106,sub_011,"2. As you inhale lower your chest until it slightly touches the floor.",,
item_107,sub_011,3. Focus on using  your triceps and some of your pectoral muscles. As you breathe out press your upper body back up to the starting position and squeeze your chest.,,
item_108,sub_011,4. Hold this contracted position for a second and repeat this movement for the desired amount of repetitions.,,
item_109,sub_011,Muscles Targeted :,,
item_110,sub_011,1. Tricep Brachii,,
item_111,sub_011,2. Pectoralis Major,,
item_112,sub_011,"3. Deltoids
",,
item_113,sub_012,1. Lie down on a decline bench with your back and lock your legs at the end of the decline bench.,,
item_114,sub_012,2. Using a medium width grip (grip that creates a 90-degrees angle between your upper arms and forearms) lift the bar from the rack with straight arms and hold it with your arms locked at the top. This will be your starting position.,,
item_115,sub_012,3. As you breathe in lower down the bar slowly from the starting position until it reaches at your nipple level.
item_116,sub_012,4. After a pause of one count push the bar back up to the starting position as you breathe out until you've locked your elbows. ,,
item_117,sub_012,"5. Focus on pushing the bar using your chest muscles. Flex your chest in the contracted position at the top of the motion, hold this position for a second and then start lowering down slowly again.",,
item_118,sub_012,6. Repeat this movement for desired amount of repetitions.,,
item_119,sub_012,"7. When you are done with the exercise, place the bar back in the rack.
",,
item_120,sub_012,Muscles Targeted :,,
item_121,sub_012,1. Pectoralis Major
item_122,sub_012,2. Triceps,,
item_123,sub_012,"3. Deltoids
",,
item_124,sub_013,1. Lock your legs at the end of a decline bench and hold a dumbbell in your each hand on the top of your thighs. Make sure the palms of your hand will be facing each other.,,
item_125,sub_013,"2. While you are laying down, move the dumbbells to the side of your chest at the shoulder width. Rotate the wrists so that the palms of your hands are facing away from you. This will be your starting position.",,
item_126,sub_013,"3. As you exhale push the dumbbells up using your pectoral muscles so that your arms are directly over your shoulders.",,
item_127,sub_013,"4. Focus on pushing the dumbbells using your pectoral muscles. Flex your chest in the contracted position at the top of the motion, hold this position for a second and then start lowering down slowly again as you breathe in.",,
item_128,sub_013,"5. Repeat this movement for the desired amount of repetitions.
",,
item_129,sub_013,Tips :,,
item_130,sub_013,1. Keep your forearms perpendicular to the floor  throughout the motion.,,
item_131,sub_013,2. "Move the dumbbells in a controlled motion.
",,
item_132,sub_013,Muscles Targeted :,,
item_133,sub_013,1. Pectoralis Major,,
item_134,sub_013,2. Anterior Deltoids,,
item_135,sub_013,"3. Triceps Brachii
",,
item_136,sub_014,1. Lie on an incline bench with your feet on the ground so that your head is near the end and eyes are below the racked bar.,,
item_137,sub_014,2. Using a medium width grip(slightly wider than the shoulder width) lift the bar from the rack with straight arms hold it with your arms locked at the top. This will be your starting position.,,
item_138,sub_014,3. As you breathe in lower down the bar slowly from the starting position until it reaches at your nipple level.,,
item_139,sub_014,4. After a pause of one count push the bar back up to the starting position as you breathe out until you've locked your elbows.,,
item_140,sub_014,"5. Focus on pushing the bar using your chest muscles. Flex your chest in the contracted position at the top of the motion, hold this position for a second and then start lowering down slowly again.
",,
item_141,sub_014,Tips :,,
item_142,sub_014,"1. Maintain the head, back, shoulders and feet positions.",,
item_143,sub_014,2. Keep your wrist stiff and perpendicular to the floor and parallel to each other.,,
item_144,sub_014,"3. Do Not arch your back or raise your chest to meet the bar.
",,
item_145,sub_014,Muscles Targeted :,,
item_146,sub_014,1. Pectoralis Major(Clavicular Head),,
item_147,sub_014,"2. Anterior Deltoids
",,
item_148,sub_015,1. Set an incline bench to a low incline angle(upto 15-30 degrees). Lie down on a bench with your back holding a dumbbell in your each hand.,,
item_149,sub_015,2. Raise the dumbbells up above the chest with the palms facing forward and a slight bent at the elbows.Rotate the wrists of your hands so that palms of your hands facing you. This will be your starting position.,,
item_150,sub_015,"3. As you inhale slowly begin to lower your arms while keeping the arms extended and rotate the wrists until the palms of your hands are facing each other.",,
item_151,sub_015,Tips :,,
item_152,sub_015,At the end of the movement keep your arms extended with the palms facing the ceiling.,,
item_153,sub_015,"4. As you exhale raise the dumbbells back up to the starting position by reversing the motion.",,
item_154,sub_015,Tips :,,
item_155,sub_015,Make sure that the movement will happen only at the shoulder joint and at the wrist. There will be no motion at the elbow joint.,,
item_157,sub_015,Muscles Targeted :,,
item_158,sub_015,1. Upper chest(clavicular portion of the pectoralis major),,
item_159,sub_015,2. Deltoids,,
item_160,sub_015,"3. Triceps
",,
item_161,sub_016,1. Hold a dumbbell in your each hand held at arm's length and lie back on an incline bench.,,
item_162,sub_016,2. The dumbbells should be at arm's length. Keep your elbows close to your torso and rotate your palms until they are facing forward. This will be your starting position.,,
item_163,sub_016,"3. As you exhale Curl the weight up and outward by keeping your upper arm stationary and forearms in line with the side deltoids. Continue the curl until the dumbbells are at shoulder level and to the sides of your deltoids. Hold this contracted position at the top of the movement for a second.",,
item_164,sub_016,"4. While exhaling lower down the dumbbells slowly back to the starting position.
",,
item_165,sub_017,"1. Stand up straight with your torso upright and your feet shoulder width apart with your knees slightly bent and your abs draw in.",,
item_166,sub_017,2. Hold a barbell with an underhand grip(palms facing upwards) at just outside the shoulder width position.Keep your elbows close to the torso and back straight. This will be your starting position.,,
item_167,sub_017,"3. As you exhale Curl the weight up by keeping your upper arm stationary and curl the weights forward while contracting your biceps.",,
item_168,sub_017,4. Continue the curl until the bar is at shoulder level and your biceps are fully contracted.Hold this position at the top for a second and squeeze your biceps hard.,,
item_169,sub_017,"5. While inhaling, slowly lower down the bar back to the starting position.",,
item_170,sub_017,Muscles Targeted :,,
item_171,sub_017,1. Brachii ,,
item_172,sub_017,"2.Brachials",,
item_173,sub_017,"3. Brachioradialis
",,
item_174,sub_018,1. Standup with your torso upright holding a dumbbell in each hand held at arms length. The elbows should be close to the torso.,,
item_175,sub_018,2. Make sure the palms of your hands are facing each other. This will be your starting position.,,
item_176,sub_018,"3. As you exhale Curl the weight up keeping your upper arm stationary and rotate your wrist so that you have a supinated(palms up) grip. Continue the curl until the dumbbells are at shoulder level and your biceps are fully contracted.",,
item_177,sub_018,4. Hold this contracted position at the top of the movement for a second.,,
item_178,sub_018,"5. While inhaling, lower down the dumbbells slowly back to the starting position using the pronated grip.
",,
